Species,Year,Source,,
Artibeus jamaicensis,2020,https://onlinelibrary.wiley.com/doi/epdf/10.1111/tbed.13751 ,,
Carollia sowelli,2020,"	https://onlinelibrary.wiley.com/doi/epdf/10.1111/tbed.13751 ",,
Desmodus rotundus,2008,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702008000600003 ,,
Hipposideros gigas,2020,https://www.nature.com/articles/s41598-020-64159-1.pdf ,,
Hipposideros larvatus,2015,https://virologyj.biomedcentral.com/articles/10.1186/s12985-015-0289-1,,
Hipposideros lekaguli ,2017,https://www.sciencedirect.com/science/article/abs/pii/S1567134816305135 ,,
Hipposideros pomona ,2020,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1 ,,
Macroglossus minimus,2020,http://philjournalsci.dost.gov.ph/96-next-issue/vol-149-no-1-march-2020/1160-first-molecular-evidence-for-bat-betacoronavirus-in-mindanao,,
Megaerops kusnotoi,2016,https://pubmed.ncbi.nlm.nih.gov/26847648/,,
Myonycteris angolensis,2020,https://www.mdpi.com/1999-4915/12/8/855,,
Myotis horsfieldii,2020,https://www.nature.com/articles/s41467-020-17687-3,,
Myotis pequinius,2020,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1,,
Nanonycteris veldkampii,2020,https://www.mdpi.com/1999-4915/12/8/855,,
Nycteris macrotis,2020,https://www.mdpi.com/1999-4915/12/8/855,,
Pipistrellus coromandra,2017,https://www.sciencedirect.com/science/article/abs/pii/S1567134816305135,,
Pipistrellus deserti,2016,https://wwwnc.cdc.gov/eid/article/22/1/15-1397_article,,
Plecotus auritus,2019,https://link.springer.com/content/pdf/10.1007/s11262-018-1614-8.pdf,,
Pteropus lylei,2018,https://virologyj.biomedcentral.com/articles/10.1186/s12985-018-0950-6,,
Scotophilus heathii,2015,https://virologyj.biomedcentral.com/articles/10.1186/s12985-015-0289-1,,
Scotophilus kuhlii,2020,https://www.biorxiv.org/content/10.1101/2020.05.31.116061v1,,
Tadarida teniotis,2019,https://link.springer.com/content/pdf/10.1007/s11262-018-1614-8.pdf,,
