"","Host","Synonym"
"1","myodes rutilus","myodes rutilus"
"2","myodes rutilus","clethrionomys rutilus"
"3","myodes rutilus","evotomys alascensis"
"4","myodes rutilus","clethrionomys albiventer"
"5","myodes rutilus","arvicola amurensis"
"6","myodes rutilus","evotomys baikalensis"
"7","myodes rutilus","evotomys dawsoni"
"8","myodes rutilus","evotomys jochelsoni"
"9","myodes rutilus","evotomys laticeps"
"10","myodes rutilus","evotomys mikado"
"11","myodes rutilus","microtus mollessonae"
"12","myodes rutilus","evotomys orca"
"13","myodes rutilus","evotomys parvidens"
"14","myodes rutilus","arvicola russatus"
"15","myodes rutilus","clethrionomys rutilus dorogostaiskii"
"16","myodes rutilus","clethrionomys dawsoni glacialis"
"17","myodes rutilus","clethrionomys rutilus hintoni"
"18","myodes rutilus","evotomys dawsoni insularis"
"19","myodes rutilus","evotomys rutilus jacutensis"
"20","myodes rutilus","clethrionomys rutilus latigriseus"
"21","myodes rutilus","evotomys rutilus lenaensis"
"22","myodes rutilus","clethrionomys rutilis platycephalus"
"23","myodes rutilus","clethrionomys rutilus rossicus"
"24","myodes rutilus","evotomys rutilus salairicus"
"25","myodes rutilus","clethrionomys rutilus tugarinovi"
"26","myodes rutilus","clethrionomys rutilus uralensis"
"27","myodes rutilus","evotomys rutilus vinogradovi"
"28","myodes rutilus","clethrionomys rutilus washburni"
"29","myodes rutilus","clethrionomys rutilus watsoni"
